feature	value	n_samples	precision	recall	fbeta
workclass	State-gov	1298	0.7987220447284346	0.7082152974504249	0.7507507507507507
workclass	Self-emp-not-inc	2541	0.7546468401486989	0.5607734806629834	0.6434231378763867
workclass	Private	22696	0.8210862619808307	0.5178319564779368	0.6351167675769184
workclass	Federal-gov	960	0.8448275862068966	0.5283018867924528	0.6500829187396352
workclass	Local-gov	2093	0.772256728778468	0.6045380875202593	0.6781818181818182
workclass	?	1836	0.7631578947368421	0.45549738219895286	0.5704918032786885
workclass	Self-emp-inc	1116	0.8533333333333334	0.7202572347266881	0.7811682650392328
workclass	Without-pay	14	1.0	1.0	1.0
education	Bachelors	5355	0.7369033760186263	0.855020261143629	0.7915798249270529
education	HS-grad	10501	0.9940828402366864	0.20059701492537313	0.33383010432190763
education	11th	1175	1.0	0.3	0.46153846153846156
education	Masters	1723	0.8122568093385214	0.8706986444212722	0.840463009562154
education	9th	514	1.0	0.1111111111111111	0.2
education	Some-college	7291	0.95	0.2465753424657534	0.39152833428734973
education	Assoc-acdm	1067	0.9158878504672897	0.36981132075471695	0.5268817204301075
education	Assoc-voc	1382	0.9487179487179487	0.3074792243767313	0.46443514644351463
education	7th-8th	646	1.0	0.125	0.2222222222222222
education	Doctorate	413	0.8603174603174604	0.8856209150326797	0.8727858293075684
education	Prof-school	576	0.8761261261261262	0.9196217494089834	0.8973471741637832
education	5th-6th	333	1.0	0.3125	0.47619047619047616
education	10th	933	1.0	0.12903225806451613	0.22857142857142856
education	1st-4th	168	1.0	0.16666666666666666	0.2857142857142857
education	Preschool	51	1.0	1.0	1.0
education	12th	433	1.0	0.2727272727272727	0.42857142857142855
marital-status	Never-married	10683	1.0	0.32790224032586557	0.4938650306748466
marital-status	Married-civ-spouse	14976	0.7987572659851674	0.5954871488344292	0.682304597209143
marital-status	Divorced	4443	0.9924812030075187	0.28509719222462204	0.4429530201342282
marital-status	Married-spouse-absent	418	1.0	0.23529411764705882	0.38095238095238093
marital-status	Separated	1025	1.0	0.3181818181818182	0.4827586206896552
marital-status	Married-AF-spouse	23	1.0	0.1	0.18181818181818182
marital-status	Widowed	993	1.0	0.25882352941176473	0.411214953271028
occupation	Adm-clerical	3770	0.7609561752988048	0.3767258382642998	0.503957783641161
occupation	Exec-managerial	4066	0.8516009852216748	0.7027439024390244	0.7700445434298441
occupation	Handlers-cleaners	1370	0.6363636363636364	0.2441860465116279	0.35294117647058826
occupation	Prof-specialty	4140	0.8066115702479338	0.7875201721355568	0.7969515514425695
occupation	Other-service	3295	0.7419354838709677	0.1678832116788321	0.27380952380952384
occupation	Sales	3650	0.7789317507418397	0.5340793489318413	0.6336753168376584
occupation	Craft-repair	4099	0.8	0.2755651237890204	0.4099279423538831
occupation	Transport-moving	1597	0.797979797979798	0.246875	0.37708830548926014
occupation	Farming-fishing	994	0.7538461538461538	0.4260869565217391	0.5444444444444444
occupation	Machine-op-inspct	2002	0.7733333333333333	0.232	0.3569230769230769
occupation	Tech-support	928	0.8263888888888888	0.4204946996466431	0.5573770491803278
occupation	?	1843	0.7631578947368421	0.45549738219895286	0.5704918032786885
occupation	Protective-serv	649	0.8295454545454546	0.3459715639810427	0.4882943143812709
occupation	Priv-house-serv	149	1.0	1.0	1.0
relationship	Not-in-family	8305	0.9962406015037594	0.30957943925233644	0.47237076648841353
relationship	Husband	13193	0.7950782997762863	0.6005407232173031	0.6842510589141317
relationship	Wife	1568	0.8274509803921568	0.5664429530201343	0.6725099601593626
relationship	Own-child	5068	1.0	0.29850746268656714	0.45977011494252873
relationship	Unmarried	3446	1.0	0.27522935779816515	0.4316546762589928
relationship	Other-relative	981	1.0	0.24324324324324326	0.391304347826087
race	White	27816	0.8149222797927461	0.5524799775186174	0.6585161614469938
race	Black	3124	0.8302752293577982	0.46770025839793283	0.5983471074380166
race	Asian-Pac-Islander	1039	0.736	0.6666666666666666	0.6996197718631179
race	Amer-Indian-Eskimo	311	0.9047619047619048	0.5277777777777778	0.6666666666666666
race	Other	271	0.6666666666666666	0.56	0.6086956521739131
sex	Male	21790	0.8044728434504792	0.5669468628039628	0.6651404420181386
sex	Female	10771	0.8640625	0.46904156064461405	0.6080263881253436
native-country	United-States	29170	0.8186962900859358	0.5446939060103193	0.6541617819460727
native-country	Cuba	95	0.8235294117647058	0.56	0.6666666666666666
native-country	Jamaica	81	0.5	0.2	0.2857142857142857
native-country	India	100	0.6730769230769231	0.875	0.7608695652173914
native-country	?	583	0.732824427480916	0.6575342465753424	0.6931407942238267
native-country	Mexico	643	0.75	0.36363636363636365	0.4897959183673469
native-country	South	80	0.5263157894736842	0.625	0.5714285714285714
native-country	Puerto-Rico	114	0.7	0.5833333333333334	0.6363636363636364
native-country	Honduras	13	1.0	1.0	1.0
